pub_title,pub_description,related_pub_title,related_pub_link,research_inventor,research_inventor_link,managed_by,managed_by_link,patent_protection,technology_number
Interactive Sound Propagation in Virtual Environments,This technology provides an efficient technique for modelingsound propagation effects in indoor and outdoor scenes for interactive applications.,Aural proxies and directionally-varying reverberation for interactive sound propagation in virtual environments,https://ieeexplore.ieee.org/abstract/document/6479183,Lakulish Antani,http://technologies.unc.edu/inventors/18584901_lakulish-antani,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,"US Patent 9,398,393",#13-0038
Interactive Wave-Based Sound Propagation,,Source and listener directivity for interactive wave-based sound propagation,https://ieeexplore.ieee.org/abstract/document/6777442,Ravish Mehra,http://technologies.unc.edu/inventors/18584892_ravish-mehra,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,"US Patent 9,560,439",#13-0080
Direct-to-Indirect Acoustic Radiance Transfer,"This invention provides an efficient algorithm for simulating diffuse reflections of sound in a static scene. The UNC approach is built on advances in precomputed light transport techniques for visual rendering and uses them to develop an improved acoustic radiance transfer technique. It precomputes a direct-to-indirect acoustic transfer operator for a scene, and uses it to map direct sound incident on the surfaces of the scene to multibounce diffuse indirect sound, which is gathered at the listener to compute the final impulse response. The algorithm decouples the transfer operator from the source position so it can efficiently update the acoustic response at the listener when the source moves.Video:",http://gamma.cs.unc.edu/Sound/diffuse/2010-tvcg-video.mov,http://gamma.cs.unc.edu/Sound/diffuse/2010-tvcg-video.mov,Dinesh Manocha,http://technologies.unc.edu/inventors/18584862_dinesh-manocha,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,"US Patent 8,995,675",#11-0048
Image Analysis with Deep Learning For Molecular Subtyping of Breast Cancer,"RNA-based, multi-gene molecular assays are available and widely used for patients with ER-positive/HER2-negative breast cancers. However, RNA-based genomic tests can be costly and are not available in many countries. Methods for inferring molecular subtype from histologic images may identify patients most likely to benefit from further genomic testing. To identify patients who could benefit from molecular testing based on H&E-stained histologic images, we developed an image analysis approach using deep learning. Our investigators created image-based classifiers for tumor grade, ER status, PAM50 intrinsic subtype, histologic subtype, and risk of recurrence score (ROR-PT). The resulting classifiers were applied to an independent test set, and accuracy, sensitivity, and specificity of each assessed on the test set. Histologic image analysis with deep learning distinguished low-intermediate vs. high tumor grade ER status, Basal-like vs. non-Basal-like, Ductal vs. Lobular, and high vs. low-medium ROR-PT scores with good accuracy. Image-based methods could be promising for identifying patients with a greater need for further genomic testing, or in place of classically scored variables typically accomplished using human-based scoring.","Image analysis with deep learning to predict breast cancer grade, ER status, histologic subtype, and intrinsic subtype.",https://www.ncbi.nlm.nih.gov/pubmed/30182055,Charles Perou,http://technologies.unc.edu/inventors/18585262_charles-perou,Jackie Quay Director 919.966.3929,http://technologies.unc.edu/managers/370_jackie-quay,Jackie Quay Director 919.966.3929,#19-0010
Camera Control Unit Communications Breakout Box,"In broadcast video technology, a camera control unit is an electronic device, usually in the form of a rack-mounted box, that connects to a video camera and to external video recording, display, and control devices. One problem with connectors provided oncamera control units is that many external intercom, program voice, and tally systems require other types of connectors, such as XLR connectors to exchange signals with the CCU. Using multiple adapters can be cumbersome and unwieldy.",Nouvant,https://www.nouvant.com,Kevin Tucker,http://technologies.unc.edu/inventors/18585181_kevin-tucker,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,Provisional Patent Application Filed ,#18-0145
Conserved Epitopes for Vaccination Against GII.4 Norovirus Strains,"Antigenic diversity within the GII.4 genotype of human norovirus is a significant hurdle to the development of cross-protective immunity after natural infection and vaccination. Our investigators have developed a method of identifying conserved GII.4 norovirus epitopes. Using this method, a conserved GII.4 antibody epitope and residues that mediate antibody access to this conserved epitope was discovered. Further development of this epitope could lead to a broadly cross-protective norovirus vaccine.","Conformational Occlusion of Blockade Antibody Epitopes, a Novel Mechanism of GII.4 Human Norovirus Immune Evasion",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5806210/pdf/mSphere.00518-17.pdf,Ralph Baric,http://technologies.unc.edu/inventors/18585103_ralph-baric,Kyle Bartholomew  ,http://technologies.unc.edu/managers/447_kyle-bartholomew,Provisional Patent Application Filed ,#17-0144
Tensegrity Wheel with Force-Based Motion,,Nouvant,https://www.nouvant.com,Henry Goodell,http://technologies.unc.edu/inventors/18585117_henry-goodell,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Provisional Patent Application Filed ,#17-0124
MTAP Inhibitors for Treatment of Airway Inflammation Associated with CF and COPD,,Nouvant,https://www.nouvant.com,Charles Esther,http://technologies.unc.edu/inventors/18585073_charles-esther,"Kelly Parsons Associate Director, Technology Commercialization 919.962.6277",http://technologies.unc.edu/managers/371_kelly-parsons,US Patent Pending US 20180353511,#16-0020
Osseous Distractor for Cranial Reconstruction,,Nouvant,https://www.nouvant.com,Nathan Davis,http://technologies.unc.edu/inventors/18585211_nathan-davis,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Charlie Shaw Commercialization Manager 919.966.3929,#18-0065
Using phase-changing nanodroplets to dissolve blood clots with ultrasound,,Nouvant,https://www.nouvant.com,Paul Dayton,http://technologies.unc.edu/inventors/18585190_paul-dayton,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Charlie Shaw Commercialization Manager 919.966.3929,#18-0123
Nanofiber-based immunotherapeutic drug delivery specifically targeted to the atherosclerotic niche,,Nouvant,https://www.nouvant.com,Melina Kibbe,http://technologies.unc.edu/inventors/18585177_melina-kibbe,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Charlie Shaw Commercialization Manager 919.966.3929,#18-0152
Long-acting injectable multipurpose implants for treatment of osteoporosis,,Nouvant,https://www.nouvant.com,Soumya Benhabbour,http://technologies.unc.edu/inventors/18585173_soumya-benhabbour,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Charlie Shaw Commercialization Manager 919.966.3929,#18-0167
Improved removal of stimulation artifacts in intracranial electroencephalography,,Nouvant,https://www.nouvant.com,Flavio Frohlich,http://technologies.unc.edu/inventors/18585185_flavio-frohlich,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Charlie Shaw Commercialization Manager 919.966.3929,#18-0136
Novel PET tracers for predicting tumor response to immunotherapy,"Labeled Positron Emmision Tomography (PET) imaging tracers have been developed which can easily screen tumors for responsiveness to specific immunotherapies. This low-cost screening method prevents application of costly immunotherapy to non-responsive tumors. These novel tracers are also relevant to serotonin pathways important in diabetes and neurophysiology.Advantages:
Specifically marks tumors with tumor-infiltrating immune cells, predicting response to cancer immunotherapy
Future applications include",Nouvant,https://www.nouvant.com,Zibo Li,http://technologies.unc.edu/inventors/18585161_zibo-li,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,PCT Patent Application WO 2017/057595,#17-0028
Light catalyzed radiofluorination,"This new method of fluorinating biomolecules for PET imaging and other therapeutic applications is catalyzed by light, making it more adaptable than other fluorination methods. This allows easier fluorination of a broader range of molecules including drugs and proteins and avoids the use of potentially hazardous heavy metals.Advantages:

Broad substrate:applicable to a wide range of drug candidates and other biomolecules

Increased safety: avoiding use of hazardous heavy metals makes process and quality control easier

Research potential:",Nouvant,https://www.nouvant.com,Zibo Li,http://technologies.unc.edu/inventors/18585112_zibo-li,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Charlie Shaw Commercialization Manager 919.966.3929,#17-0133
Combined Acoustic Radiation Force Impulse (ARGI) Ultrasound and Elastography for Improved Tissue Imaging,"Acoustic Radiation Force Impulse (ARFI) ultrasound is a tissue imaging method where a short duration impulse (on the order of microseconds) of relatively high acoustic energy is transmitted into the body. The tissue’s response in terms of its peak displacement and subsequent recovery from displacement is used as an indicator of the tissue’s mechanical properties. The use of ARFI for elastography yields enhanced differentiation of tissue mechanical property. This technique allows for targeted regions of excitation, resulting in increased spatial resolution of mechanical property analysis. Combined ARFI-Elastography would be useful in breast, vascular, cardiac, abdominal, and other ultrasonic imaging applications. Similar principles may be applied to other medical imaging modalities, such as MRI and Optical imaging. Developments in ultrasound imaging, such as ARFI for elastography, will have helped lead the market to a $7 billion USD industry by 2024.<!–[if !supportLists]–>• <!–[endif]–>Ability to palpate tissue further than human reach<!–[if !supportLists]–>•",Nouvant,https://www.nouvant.com,Caterina Gallippi,http://technologies.unc.edu/inventors/18584872_caterina-gallippi,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,"US Patent 9,244,041",#12-0104
Increased Recombinant AAV Vector Yield Using Engineered Assembly Activating Proteins,"Assembly Acting Proteins (AAPs) are required for adeno-associated viruses (AAVs) capsid formation. Novel engineered Assembly Activating Proteins (eAAPs) have been developed with enhanced stability that promote viral assembly and enhance vector yields of recombinant AAV by 200% over wildtype AAP. eAAPs can address some of the manufacturing limitations of AAV needed for gene therapy, gene silencing, and gene editing applications.Advantages:-eAAPs can be used to greatly increase the yield of recombinant AAV vectors-eAAPs can be fluorescently labeled to enable the study of the role(s) of AAPs in capsid assembly",Mapping and Engineering Functional Domains of the Assembly Activating Protein of Adeno-Associated Viruses.,https://www.ncbi.nlm.nih.gov/pubmed/29695425,Aravind Asokan,http://technologies.unc.edu/inventors/18585199_aravind-asokan,"Kelly Parsons Associate Director, Technology Commercialization 919.962.6277",http://technologies.unc.edu/managers/371_kelly-parsons,Provisional Patent Application Filed ,#18-0116
Novel Cross-Linker and Related Methods of Isotope Tagging for Analysis of Protein Interactions,"An isotope labeled cross-linker has been developed to improve the detection of cross-linked peptides. Chemical cross-linking is often used to study protein-protein interactions, however gas-phase dissociation reactions of cross-linkers often lack the sensitivity and specificity to fragment the cross-linker at the desired location. Consequently, there is a need for improved cross-linkers for studying protein interactions. The developed cross-linker (d4-DTSSP) is asymmetric across a single cleavable bond (versus symmetrical like other commercially available DTSSP), and allows for a unique detection strategy that can differentiate cross-linked fragments from non cross-linked fragment ions that can easily be visually differentiated using mass spectrometry. Furthermore, d4-DTSSP uses a simple electron transfer (EDT) dissociation reaction that allows for high efficiency and product yield along with the identification of interacting proteins. d4-DTSSP has the potential to significantly enhance the utility of chemical cross-linking for the study of protein-protein interactions.Advantages:· Allows for a unique detection strategy that identifies cross-linked from non-cross-linked fragments· May improve throughput in identifying cross-linked fragments by allowing automated peak-picking·",Nouvant,https://www.nouvant.com,Xian Chen,http://technologies.unc.edu/inventors/18584903_xian-chen,"Kelly Parsons Associate Director, Technology Commercialization 919.962.6277",http://technologies.unc.edu/managers/371_kelly-parsons,US Patent US 9562010,#13-0034
Topical Tigecycline to Control Endodontic Infections,,Nouvant,https://www.nouvant.com,Ashraf Fouad,http://technologies.unc.edu/inventors/18585219_ashraf-fouad,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Provisional Patent Application Filed ,#18-0031
Side-car Bassinet to Improve Mother and Baby Development Post-delivery,"A side-car bassinet particularly designed for U.S. maternity beds may improve mother-baby development post-delivery. The bassinet locks into maternity beds, when proximity to mother is warranted, but can be disengaged, and converted to a stand-alone bassinet. To promote breast-feeding in the hours after delivery, it is understood that keeping mother and baby together is important. Stand-alone bassinets present unnecessary obstacles for mothers in the moments following labor (as a result of compromised mobility). A mother’s movement becomes particularly worrisome when cesarean birth is necessary. Stand-alone bassinets lead to suboptimal breast-feeding. By designing a bassinet that can lock into hospital beds, mothers can easily reach their baby for feeding. During times when bassinet is disengaged from the bed, a fourth wall is in place for infant security.",Nouvant,https://www.nouvant.com,Kristin Tully,http://technologies.unc.edu/inventors/18585169_kristin-tully,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Provisional Patent Application Filed ,#17-0003
Synthesis of extremely stable in vivo 18F based radiotracer to conjugate drugs and diagnostic biomolecules,"The invention provides a novel approach for synthesis of an 18F based radiotracer, an ideal backbone for a tracer due to its long half-life (~110 mins). Fluorine is commonly found in organic molecules, and thus, is theoretically easy to directly introduce to a molecule of interest. Positron Emission Tomography (PET) is a medical imaging technique that relies on the use of molecular radiotracerss containing positron emitting isotopes. This UNC method results in a radiotracer that is extremely stable in vivo and can be used to conjugate drugs, peptides, proteins, or any other diagnostic biomolecules.",Nouvant,https://www.nouvant.com,Zibo Li,http://technologies.unc.edu/inventors/18585155_zibo-li,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Provisional Patent Application Filed ,#17-0045
Novel System for Personalized Brain Stimulation to Alleviate Deficiencies in Higher Order Cognitive Function Cloud Infrastructure,,Nouvant,https://www.nouvant.com,Flavio Frohlich,http://technologies.unc.edu/inventors/18585153_flavio-frohlich,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Charlie Shaw Commercialization Manager 919.966.3929,#17-0050
Novel System for Personalized Brain Stimulation to Alleviate Deficiencies in Higher Order Cognitive Function Software,,Nouvant,https://www.nouvant.com,Flavio Frohlich,http://technologies.unc.edu/inventors/18585152_flavio-frohlich,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Charlie Shaw Commercialization Manager 919.966.3929,#17-0051
Higher Frame Rate Ultrasound Imaging for Improved Detection of Human Physiological Events,"Ultrasound imaging at high frame rates (50 Hz or greater) is reliant on plane-wave transmission. Unfortunately, high frame rate imaging is not conducive with compounding, or averaging, of different acoustic signals to improve image quality. With every ultrasound transmit being devoted to image quality, that is one transmission being lost for analysis of temporal changes in the image. As the field of ultrasound progresses with techniques reliant on faster imaging, such as super resolution, it is not only beneficial to image fast, but also to maintain sensitivity. Adaptive multifocus beamforming is a technique that utilizes a unique transmission to focus the beam in multiple locations in the field of view, while mainting the desired high-frame rate. In this manner, high-frame rate ultrasound images possses a signal-to-noise ratio not achievable previously. Not only could this improve signal tracking in even the slowest of capillaries, deeper penetration depths may be reached, providing more information for physiological assessment.Advantages:
Higher frame rate imaging allows for improved detection of human physiological events
Increases",Nouvant,https://www.nouvant.com,Gianmarco Pinton,http://technologies.unc.edu/inventors/18585149_gianmarco-pinton,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,PCT Patent Application WO 2018/208942,#17-0062
"Device and Method for Improving Motor Memory and Other Cognitive Functions, a Potential Therapy for Alzheimer’s Disease, Schizophrenia, Autism and ADHD","Research in understanding the role thalamo-cortical oscillations, like sleep spindles, play in cortical network dynamics and cognitive processes in humans has been impeded due to a lack of tools to monitor and selectively enhance rhythmic brain activity in real-time. Further, current treatment options for these disease aim only to help prolong functional capabilities and slow symptom development. Researchers developed this system to combat this growing health concern and overcome these current research limitations. This system provides targeted and personalized brain stimulation to increase sleep spindle oscillations to alleviate deficiencies in higher order cognitive function, allowing for the treatment of psychiatric and neurological impairments. Brain stimulation has gained momentum as an alternative to pharmacological approaches to treat neurological disorders. 

<!–[if !supportLists]–>Proprietary method to monitor and selectively enhance transient rhythmic brain activity in real time in humans

<!–[if !supportLists]–><!–[endif]–><!–[if !supportLists]–><!–[endif]–>Improves motor sequence consolidation, providing a non-invasive, drug free therapeutic for disorders shown to have reduction in sleep spindles
",Nouvant,https://www.nouvant.com,Flavio Frohlich,http://technologies.unc.edu/inventors/18585078_flavio-frohlich,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Charlie Shaw Commercialization Manager 919.966.3929,#16-0010
Improved Mechanical Imaging for Internal Organs and Muscles,"Acoustic radiation force impulse (ARFI) imaging is a technique that utilizes ultrasound to characterize the viscoelastic property of tissue. It is understood that certain organ systems have directionally dependent characteristics (property known as anisotropy). Disease progression may change the mechanical response of tissue, and the ability to measure these changes along multiple axes is beneficial. This unique use of ARFI to measure anisotropy has significant advantages in the clinical space. UNC researchers have developed the disclosed technology is capable of quantifying peak displacements in orthogonal dimensions. With this information, the degree of anisotropy of the tissue can be monitored during disease progression, increasing the information one can gather from ultrasound systems. Developments in ultrasound imaging have led to a $7.3 billion USD industry. With such improvements to tissue mechanical property assessment, ultrasound technology continues to expand as a multi-platform modality.",Nouvant,https://www.nouvant.com,Caterina Gallippi,http://technologies.unc.edu/inventors/18585039_caterina-gallippi,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,PCT Patent Application US 2017/032745,#16-0098
Detection of Brain Motion with High-frame Rate Ultrasound Imaging,"There is a lack of understanding of the mechanisms at work during a traumatic brain injury (TBI). Though brain motion has been extensively linked to TBI, direct quantifiable measurements are absent, which could aid in progressing understanding and diagnosis of TBI. The Pinton lab has developed an ultrasonic method for detecting the motion of the brain, at frame rates as high as 10,000 images per second. With a novel motion tracking algorithm, the imaging technique can quantify movement of the brain with displacements down to 1 micron. Through the advancement and implementation of this technique, it is anticipated that the detection of brain motion will further the understanding of the mechanism of trauma.

<!–[endif]–>At 10,000 images per sec, superior motion detection can be achieved, at a spatial sensitivity better than 1 micron.

<!–[if !supportLists]–>Detection of skull motion will lead to improved understanding and diagnosis of brain injury

<!–[if !supportLists]–>3D simulation development of the nonlinear propagation of shear shock waves, a potential source for traumatic brain injury, may enable the improved design of sport helmets and car safety features.
",Nouvant,https://www.nouvant.com,Gianmarco Pinton,http://technologies.unc.edu/inventors/18585028_gianmarco-pinton,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Provisional Patent Application Filed ,#16-0141
Periodontal Profile Class Scoring Model to predict tooth loss and oral disease progression,,Nouvant,https://www.nouvant.com,Jim Beck,http://technologies.unc.edu/inventors/18585009_jim-beck,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Charlie Shaw Commercialization Manager 919.966.3929,#16-0170
Adrenomedullin Therapy to Improve Fetal Implantation,,Nouvant,https://www.nouvant.com,Kathleen Caron,http://technologies.unc.edu/inventors/18584966_kathleen-caron,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Charlie Shaw Commercialization Manager 919.966.3929,#15-0097
